Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	1051	350	70	872	3	0	109	Rectangle		3.06605	1318	1	0	1				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	1336	191	67	585	7	62	134	Rectangle	Rectangle	3.23273	1620	1	12	4				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	1012	337	157	472	3	0	384	Rectangle		3.31142	1047	1	0	2				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	610	610	610	610	1	0	610	Rectangle		3.73867	610	1	0	0				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds - Trim	5	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session15.1	Nova	Nova 15th session 	Grey screen 4 seconds - Trim	6	Grey screen 4 seconds - Trim	Rectangle	516	258	139	376	2	0	376	Rectangle	Rectangle	3.30575	1016	1	0	0				
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	3518	235	71	812	15	71812	134	Rectangle		3.3392	6097	3	71785	7		98835		372.72
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	4525	283	67	872	16	80397	109	Rectangle		3.28979	5612	5	80397	7				
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	764	191	62	337	4	125691	62	Rectangle		3.7202	1006	1	125691	1				
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	2550	170	66	475	15	100237	116	Rectangle		3.41435	2904	3	100237	9				
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	2506	251	66	574	10	143585	83	Rectangle		3.39576	3594	2	143568	2				
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	3101	239	67	733	13	88543	112	Rectangle		3.18368	3652	1	88543	10				
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	2144	429	98	1556	5	112377	98	Rectangle		3.68834	3109	2	112377	1	114956		542.16	
Session15.1	Nova	Nova 15th session 	Entire Recording	1	b02-constr-converted,b06-dilating-converted,corgi eating,d04-constr-converted,d05-dilating-converted,d13-dilating-converted,d14-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,squirrel,tiktok animals,Untitled design	Rectangle	1907	127	57	201	15	76166	127	Rectangle		3.27934	4231	1	76166	8				
SessionR2.1	Nova	Nova Rerun 2	b07-dilating-converted	1	b07-dilating-converted	Rectangle	383	383	383	383	1	2518	383	Rectangle		2.33082	433	1	2468	0				
SessionR2.1	Nova	Nova Rerun 2	b09-dilating-converted	1	b09-dilating-converted	Rectangle	994	248	67	533	4	0	311	Rectangle		2.3832	1277	3	0	0	678		487.06	
SessionR2.1	Nova	Nova Rerun 2	d01-dilating-converted	1	d01-dilating-converted	Rectangle	3224	403	71	1267	8	0	120	Rectangle		2.68112	3595	2	0	3	1203	970	525.6	404.41
SessionR2.1	Nova	Nova Rerun 2	d10-dilating-converted	1	d10-dilating-converted	Rectangle	1877	469	27	1200	4	0	27	Rectangle		2.78864	2444	1	0	0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds	1	Grey screen 4 seconds	Rectangle	133	67	67	67	2	15	67	Rectangle		2.74263	2193	1	0	0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds	2	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds	3	Grey screen 4 seconds	Rectangle	401	401	401	401	1	346	401	Rectangle		2.64356	401	1	346	0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	800	267	133	483	3	3142	183	Rectangle	Rectangle	2.69414	935	2	3073	1				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	1438	719	55	1383	2	74	1383	Rectangle	Rectangle	2.78278	4365	1	0	0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	1246	1246	1246	1246	1	343	1246	Rectangle		2.78368	1246	1	343	0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds - Trim	5	Grey screen 4 seconds - Trim	Rectangle	627	627	627	627	1	0	627	Rectangle		2.98844	627	1	0	0				
SessionR2.1	Nova	Nova Rerun 2	Grey screen 4 seconds - Trim	6	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
SessionR2.1	Nova	Nova Rerun 2	h07-constr-converted	1	h07-constr-converted	Rectangle	2496	499	80	1850	5	0	80	Rectangle	Rectangle	2.96538	2636	2	0	3				
SessionR2.1	Nova	Nova Rerun 2	h08-dilating-converted	1	h08-dilating-converted	Rectangle	1584	176	30	459	9	0	30	Rectangle		3.20449	1911	2	0	4		2412		690.52
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	2772	347	55	1383	8	89239	67	Rectangle		2.73509	7905	5	89222	1	89222		425.28	
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	1873	936	627	1246	2	135144	1246	Rectangle		2.85315	1873	2	135144	0		136390		161.21
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	994	248	67	533	4	107096	311	Rectangle		2.3832	1277	3	107096	0	107774		487.06	
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	2496	499	80	1850	5	142330	80	Rectangle		2.96538	2636	2	142330	3				
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	1584	176	30	459	9	153940	30	Rectangle		3.20449	1911	2	153940	4		156353		690.52
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	383	383	383	383	1	97672	383	Rectangle		2.33082	433	1	97622	0				
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	3224	403	71	1267	8	118839	120	Rectangle		2.68112	3595	2	118839	3	120042	119809	525.6	404.41
SessionR2.1	Nova	Nova Rerun 2	Entire Recording	1	b07-dilating-converted,b09-dilating-converted,corgi eating,d01-dilating-converted,d10-dilating-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h07-constr-converted,h08-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	1877	469	27	1200	4	130619	27	Rectangle		2.78864	2444	1	130619	0				
Session11.1	Nova	Nova 11th session  	b06-constr-converted	1	b06-constr-converted	Rectangle	3599	450	89	1263	8	0	217	Rectangle	Rectangle	3.35499	4368	1	0	4				
Session11.1	Nova	Nova 11th session  	d12-constr-converted	1	d12-constr-converted	Rectangle	2404	343	89	691	7	499	162	Rectangle	Rectangle	3.28081	3698	1	499	0				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds	1	Grey screen 4 seconds	Rectangle	1813	227	79	467	8	371	200	Rectangle	Rectangle	3.11938	4098	1	321	3				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds	2	Grey screen 4 seconds	Rectangle	3467	267	19	800	13	0	48	Rectangle	Rectangle	2.36653	4301	1	0	3				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds	3	Grey screen 4 seconds	Rectangle	3003	334	67	1430	9	0	372	Rectangle	Rectangle	3.56488	3897	2	0	1		372		161.27
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	4645	4645	4645	4645	1	0	4645	Rectangle	Rectangle	4.70054	4645	1	0	0				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	2325	581	141	878	4	0	878	Rectangle		3.12858	2558	1	0	2				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	204	68	35	100	3	974	69	Rectangle	Rectangle	2.284	340	1	940	1				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	1215	304	57	634	4	0	307	Rectangle	Rectangle	3.58911	1399	1	0	2				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	1266	422	117	974	3	0	175	Rectangle	Rectangle	4.66133	1383	1	0	0				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	767	256	29	374	3	0	364	Rectangle	Rectangle	3.20228	1549	1	0	0				
Session11.1	Nova	Nova 11th session  	Grey screen 4 seconds - Trim	5	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session11.1	Nova	Nova 11th session  	h02-constr-converted	1	h02-constr-converted	Rectangle	2464	411	67	938	6	0	938	Rectangle		2.64519	3771	1	0	0				
Session11.1	Nova	Nova 11th session  	h02-dilating-converted	1	h02-dilating-converted	Rectangle	2988	996	100	2241	3	1094	646	Rectangle	Rectangle	4.69059	3107	1	1057	1				
Session11.1	Nova	Nova 11th session  	h05-dilating-converted	1	h05-dilating-converted	Rectangle	0				0						0	0		0				
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	15253	436	19	4645	35	113354	200	Rectangle		3.52097	19498	6	113304	9		196418		161.27
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	3452	266	29	974	13	126856	69	Rectangle		3.82763	4671	4	126822	3				
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	3599	450	89	1263	8	190280	217	Rectangle		3.35499	4368	1	190280	4				
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	2988	996	100	2241	3	224393	646	Rectangle		4.69059	3107	1	224357	1				
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	2464	411	67	938	6	121699	938	Rectangle		2.64519	3771	1	121699	0				
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	0				0			Rectangle			0	0		0				
Session11.1	Nova	Nova 11th session  	Entire Recording	1	b06-constr-converted,corgi eating,d12-constr-converted,fish,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h02-constr-converted,h02-dilating-converted,h05-dilating-converted,squirrel,tiktok animals,Untitled design	Rectangle	2404	343	89	691	7	278037	162	Rectangle		3.28081	3698	1	278037	0				
Session3.1	Nova	Nova 3rd session  	b00-dilating-converted	1	b00-dilating-converted	Rectangle	2867	717	404	1009	4	0	452	Rectangle	Rectangle	3.94407	3898	2	0	0	1562	1328	471.42	269
Session3.1	Nova	Nova 3rd session  	b10-constr-converted	1	b10-constr-converted	Rectangle	3426	264	14	766	13	0	14	Rectangle	Rectangle	4.47912	4131	1	0	6				
Session3.1	Nova	Nova 3rd session  	d02-dilating-converted	1	d02-dilating-converted	Rectangle	2324	232	66	517	10	0	200	Rectangle		4.40415	2848	2	0	6				
Session3.1	Nova	Nova 3rd session  	d15-dilating-converted	1	d15-dilating-converted	Rectangle	440	220	151	289	2	543	289	Rectangle		4.85912	475	2	525	0	3103		36.3	
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds	1	Grey screen 4 seconds	Rectangle	1403	234	167	368	6	57	268	Rectangle		4.10252	1805	3	7	1	2345		391.16	
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds	2	Grey screen 4 seconds	Rectangle	3162	632	424	891	5	0	815	Rectangle	Rectangle	4.30837	3340	2	0	3				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds	3	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	1494	136	56	609	11	0	56	Rectangle		5.24105	2583	1	0	6				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	1133	1133	1133	1133	1	0	1133	Rectangle	Rectangle	4.25513	1133	1	0	0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	219	219	219	219	1	0	219	Rectangle		4.78674	219	1	0	0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds - Trim	5	Grey screen 4 seconds - Trim	Rectangle	849	212	99	267	4	114	249	Rectangle	Rectangle	4.76205	1016	1	97	1				
Session3.1	Nova	Nova 3rd session  	Grey screen 4 seconds - Trim	6	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	h00-constr-converted	1	h00-constr-converted	Rectangle	1715	286	67	952	6	0	121	Rectangle		4.67097	2021	2	0	3		1287		160.12
Session3.1	Nova	Nova 3rd session  	h05-constr-converted	1	h05-constr-converted	Rectangle	0				0						0	0		0				
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	6059	275	56	891	22	197439	268	Rectangle		4.48723	7728	6	197388	10	199726		391.16	
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	2201	367	99	1133	6	216938	1133	Rectangle		4.50118	2368	3	216938	1				
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	0				0			Rectangle			0	0		0				
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	1715	286	67	952	6	402576	121	Rectangle		4.67097	2021	2	402576	3		403863		160.12
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	2324	232	66	517	10	281072	200	Rectangle		4.40415	2848	2	281072	6				
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	3426	264	14	766	13	313588	14	Rectangle		4.47912	4131	1	313588	6				
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	2867	717	404	1009	4	212807	452	Rectangle		3.94407	3898	2	212807	0	214369	214135	471.42	269
Session3.1	Nova	Nova 3rd session  	Entire Recording	1	b00-dilating-converted,b10-constr-converted,d02-dilating-converted,d15-dilating-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h00-constr-converted,h05-constr-converted,Screen Recording 2023-12-10 at 16.35.32 (1),Screen Recording 2023-12-10 at 16.35.32 (2),Screen Recording 2023-12-10 at 16.35.32 (3)	Rectangle	440	220	151	289	2	334854	289	Rectangle		4.85912	475	2	334836	0	337414		36.3	
Session1.1	Nova	Nova 1st session	b02-dilating_converted	1	b02-dilating_converted	Rectangle	3633	519	191	1452	7	6	367	Rectangle		5.03528	3935	1	0	5				
Session1.1	Nova	Nova 1st session	d02-constr_converted	1	d02-constr_converted	Rectangle	3650	365	87	894	10	0	160	Rectangle	Rectangle	5.03175	4131	1	0	6				
Session1.1	Nova	Nova 1st session	d09-constr_converted	1	d09-constr_converted	Rectangle	1552	310	133	646	5	17	133	Rectangle		5.10139	1772	1	0	3				
Session1.1	Nova	Nova 1st session	d11-dilating_converted	1	d11-dilating_converted	Rectangle	2159	432	68	1015	5	0	156	Rectangle	Rectangle	5.08388	4148	1	0	2				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds	1	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds	2	Grey screen 4 seconds	Rectangle	175	175	175	175	1	0	175	Rectangle		4.63454	175	1	0	0				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds	3	Grey screen 4 seconds	Rectangle	4238	706	228	1206	6	0	363	Rectangle	Rectangle	5.28498	4360	1	0	4				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	1960	218	68	418	9	0	96	Rectangle		5.50398	3063	2	0	4		1964		436.83
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	1046	1046	1046	1046	1	0	1046	Rectangle		5.59941	1046	1	0	0				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	4144	691	100	2033	6	127	141	Rectangle	Rectangle	6.91384	4248	1	107	4				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	1110	370	138	782	3	0	191	Rectangle	Rectangle	4.43945	1180	1	0	2				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	1098	366	100	807	3	0	100	Rectangle	Rectangle	5.00988	1133	1	0	2				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	504	504	504	504	1	446	504	Rectangle	Rectangle	4.81767	538	1	412	0				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	1064	1064	1064	1064	1	0	1064	Rectangle	Rectangle	5.51392	1064	1	0	0				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds - Trim	5	Grey screen 4 seconds - Trim	Rectangle	57	57	57	57	1	0	57	Rectangle		5.39525	57	1	0	0				
Session1.1	Nova	Nova 1st session	Grey screen 4 seconds - Trim	6	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session1.1	Nova	Nova 1st session	h06-dilating_converted	1	h06-dilating_converted	Rectangle	1550	172	67	403	9	15	167	Rectangle	Rectangle	5.23747	4148	1	0	3				
Session1.1	Nova	Nova 1st session	h10-dilating_converted	1	h10-dilating_converted	Rectangle	2671	243	19	652	11	139	137	Rectangle	Rectangle	4.64595	4043	1	71	6				
Session1.1	Nova	Nova 1st session	Entire Recording	1	b02-dilating_converted,d02-constr_converted,d09-constr_converted,d11-dilating_converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h06-dilating_converted,h10-dilating_converted,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	11563	503	68	2033	23	179638	175	Rectangle		5.93532	12892	6	179638	12		212240		436.83
Session1.1	Nova	Nova 1st session	Entire Recording	1	b02-dilating_converted,d02-constr_converted,d09-constr_converted,d11-dilating_converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h06-dilating_converted,h10-dilating_converted,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	3834	426	57	1064	9	178459	191	Rectangle		4.97033	3972	5	178459	4				
Session1.1	Nova	Nova 1st session	Entire Recording	1	b02-dilating_converted,d02-constr_converted,d09-constr_converted,d11-dilating_converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h06-dilating_converted,h10-dilating_converted,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	3650	365	87	894	10	194767	160	Rectangle		5.03175	4131	1	194767	6				
